id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away,target_1x2,tendencia_xg_home,tendencia_xg_away,diff_xg_10_h_vs_a,prob_empate,prob_local,prob_visita
20250518_Osasuna_Espanyol,2025-05-18 17:00:00,ESP-La Liga,2425,Osasuna,Espanyol,1,2,0,1.92502,0.572332,1.4903562,1.2779326000000002,0.2124235999999997,1.439772,1.5484744,-0.1087023999999998,0.9029201131011624,Espanyol,Osasuna,0,0,2,0.572332,1.92502,1.1690486,1.2566154000000005,-0.0875668000000002,1.1650152,1.1910137,-0.0259985,1.1158643115863969,1.4,4.9,8.19,1,0.3211259999999995,-0.061568300000000194,0.2747568,0.34973115,0.30939955,0.34086934
20250518_Mallorca_Getafe,2025-05-18 17:00:00,ESP-La Liga,2425,Mallorca,Getafe,1,1,2,0.809089,1.55977,0.8230976,2.4780388,-1.6549411999999997,0.9839877,1.5982085,-0.6142207999999998,0.9146446498826662,Getafe,Mallorca,0,2,1,1.55977,0.809089,1.0800508,1.5277636,-0.4477128000000001,1.3060117,1.3973052,-0.0912934999999999,0.7656893382430355,1.4,4.9,8.19,2,-1.0407203999999999,-0.35641930000000016,-0.322024,0.28659102,0.21314079,0.50026816
20250518_Atletico Madrid_Real Betis,2025-05-18 17:00:00,ESP-La Liga,2425,Atletico Madrid,Real Betis,1,4,1,4.94276,0.821908,1.5100108,0.8363700000000002,0.6736407999999997,1.5959732,1.0926034999999998,0.5033697000000001,1.0651801263454008,Real Betis,Atletico Madrid,0,1,4,0.821908,4.94276,1.4273076,1.2690677999999995,0.1582398000000002,1.556335,1.2007257,0.3556093,1.3493230253621329,1.4,4.9,8.19,1,0.17027109999999956,-0.1973694999999998,0.03963819999999996,0.29305023,0.41311097,0.2938388
20250518_Valencia_Athletic Club,2025-05-18 17:00:00,ESP-La Liga,2425,Valencia,Athletic Club,1,0,1,0.388682,1.16214,1.6747295999999998,1.1058228,0.5689067999999999,1.5212302000000002,1.2284052,0.2928250000000003,0.986043410100976,Athletic Club,Valencia,0,1,0,1.16214,0.388682,1.1374678,1.1388356,-0.0013677999999999,1.2005538,1.115731,0.0848227999999999,0.7496534102399991,1.4,4.9,8.19,2,0.27608179999999966,-0.08619059999999981,0.3206764000000002,0.2574956,0.6280505,0.11445388
20250518_Parma Calcio 1913_Napoli,2025-05-18 18:45:00,ITA-Serie A,2425,Parma Calcio 1913,Napoli,1,0,0,0.296751,0.379711,1.1282228,1.1085196,0.0197032000000001,1.0525266,1.2198934,-0.1673667999999999,0.8550844652434768,Napoli,Parma Calcio 1913,0,0,0,0.379711,0.296751,1.6467756000000002,0.7666408,0.8801348000000002,1.6110422,0.9755591,0.6354831000000001,0.9310737291216028,1.4,4.9,8.19,0,0.18707000000000001,0.24465170000000014,-0.5585156,0.21922277,0.25201207,0.52876514
20250518_Juventus_Udinese,2025-05-18 18:45:00,ITA-Serie A,2425,Juventus,Udinese,1,2,0,2.61362,0.358909,1.1480267999999998,0.8497292,0.2982975999999998,1.1757546,1.0596657,0.1160888999999998,0.8505168931366349,Udinese,Juventus,0,0,2,0.358909,2.61362,1.0720028,1.4418272,-0.3698243999999999,1.1426453,1.3377243,-0.195079,0.525096873809507,1.4,4.9,8.19,1,0.18220869999999997,-0.17474539999999988,0.03310930000000001,0.36265936,0.38580453,0.2515361
20250518_Fiorentina_Bologna,2025-05-18 18:45:00,ITA-Serie A,2425,Fiorentina,Bologna,1,3,2,1.43018,1.51953,0.75646,0.9421836,-0.1857235999999998,1.1761034,1.2459515,-0.0698480999999997,1.1053440493888127,Bologna,Fiorentina,0,2,3,1.51953,1.43018,0.7127536,0.8882776000000001,-0.1755240000000001,1.2464218,0.8685353000000001,0.3778864999999999,1.1232143699553634,1.4,4.9,8.19,1,-0.11587550000000009,-0.5534105,-0.07031840000000011,0.1868621,0.25194544,0.56119245
20250518_Cagliari_Venezia,2025-05-18 18:45:00,ITA-Serie A,2425,Cagliari,Venezia,1,3,0,2.75115,0.773148,1.0671247999999998,1.3082328,-0.2411080000000003,1.0047424,1.3190346,-0.3142921999999999,1.0948068929838206,Venezia,Cagliari,0,0,3,0.773148,2.75115,1.4896500000000004,1.1886146,0.3010354000000004,1.2242663,1.4625043,-0.2382379999999999,0.6534520688415022,1.4,4.9,8.19,1,0.07318419999999962,0.5392734000000003,-0.2195239,0.30233523,0.17944293,0.5182218
20250518_Inter_Lazio,2025-05-18 18:45:00,ITA-Serie A,2425,Inter,Lazio,1,2,2,1.59363,2.33497,1.5136733999999998,1.3741208,0.1395525999999998,1.7882604,1.3061468,0.4821135999999999,0.8947237803153387,Lazio,Inter,0,2,2,2.33497,1.59363,1.534486,0.6289879999999999,0.905498,1.4279765999999998,1.0200705,0.4079060999999999,0.8403493164038428,1.4,4.9,8.19,0,-0.3425610000000001,0.49759190000000014,0.36028380000000015,0.18884163,0.7313039,0.079854526
20250518_Verona_Como,2025-05-18 18:45:00,ITA-Serie A,2425,Verona,Como,1,1,1,1.55405,1.12443,0.4771424000000001,1.2163902,-0.7392477999999998,0.6569191,1.1222474,-0.4653283,0.6089020567341448,Como,Verona,0,1,1,1.12443,1.55405,1.589866,1.3448814,0.2449846,1.608052,1.4698527,0.1381992999999999,0.9949920804849094,1.4,4.9,8.19,0,-0.2739194999999998,0.10678530000000011,-0.9511329000000001,0.2502804,0.20317104,0.5465485
20250518_Roma_AC Milan,2025-05-18 18:45:00,ITA-Serie A,2425,Roma,AC Milan,1,3,1,1.57656,1.78592,1.1681161999999998,1.3981016,-0.2299854000000001,1.5325141,1.1153545399999998,0.4171595600000002,0.7177743305759271,AC Milan,Roma,0,1,3,1.78592,1.57656,1.4621274,0.9276766,0.5344507999999999,1.8042867,1.3708927,0.433394,1.1084706723877793,1.4,4.9,8.19,1,-0.6471449600000003,0.10105679999999989,-0.27177260000000003,0.3164097,0.5152764,0.16831392
