id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away
20210814_Lille_Nice,2021-08-14 15:00:00,FRA-Ligue 1,2122,Lille,Nice,1,0,4,0.768573,2.33694,,,,,,,,Nice,Lille,0,4,0,2.33694,0.768573,,,,,,,
20210814_Borussia Dortmund_Eintracht Frankfurt,2021-08-14 16:30:00,GER-Bundesliga,2122,Borussia Dortmund,Eintracht Frankfurt,1,5,2,2.83799,1.36709,,,,,,,,Eintracht Frankfurt,Borussia Dortmund,0,2,5,1.36709,2.83799,,,,,,,
20210814_Norwich_Liverpool,2021-08-14 16:30:00,ENG-Premier League,2122,Norwich,Liverpool,1,0,3,1.3333,1.78728,,,,,,,,Liverpool,Norwich,0,3,0,1.78728,1.3333,,,,,,,
20210814_Mallorca_Real Betis,2021-08-14 17:30:00,ESP-La Liga,2122,Mallorca,Real Betis,1,1,1,0.569578,0.814085,,,,,,,,Real Betis,Mallorca,0,1,1,0.814085,0.569578,,,,,,,
20210814_Cadiz_Levante,2021-08-14 17:30:00,ESP-La Liga,2122,Cadiz,Levante,1,1,1,0.993589,0.915954,,,,,,,,Levante,Cadiz,0,1,1,0.915954,0.993589,,,,,,,
20210814_Paris Saint Germain_Strasbourg,2021-08-14 19:00:00,FRA-Ligue 1,2122,Paris Saint Germain,Strasbourg,1,4,2,2.90032,0.570058,,,,,,,,Strasbourg,Paris Saint Germain,0,2,4,0.570058,2.90032,,,,,,,
20210814_Alaves_Real Madrid,2021-08-14 20:00:00,ESP-La Liga,2122,Alaves,Real Madrid,1,1,4,1.41097,2.15551,,,,,,,,Real Madrid,Alaves,0,4,1,2.15551,1.41097,,,,,,,
20210814_Osasuna_Espanyol,2021-08-14 20:00:00,ESP-La Liga,2122,Osasuna,Espanyol,1,0,0,0.579404,0.583698,,,,,,,,Espanyol,Osasuna,0,0,0,0.583698,0.579404,,,,,,,
20210815_Angers_Lyon,2021-08-15 11:00:00,FRA-Ligue 1,2122,Angers,Lyon,1,3,0,1.6418,0.977124,,,,,,,,Lyon,Angers,0,0,3,0.977124,1.6418,,,,,,,
20210815_Brest_Rennes,2021-08-15 13:00:00,FRA-Ligue 1,2122,Brest,Rennes,1,1,1,2.2991,1.32152,,,,,,,,Rennes,Brest,0,1,1,1.32152,2.2991,,,,,,,
20210815_Nantes_Metz,2021-08-15 13:00:00,FRA-Ligue 1,2122,Nantes,Metz,1,2,0,1.7221,0.885265,,,,,,,,Metz,Nantes,0,0,2,0.885265,1.7221,,,,,,,
20210815_Reims_Montpellier,2021-08-15 13:00:00,FRA-Ligue 1,2122,Reims,Montpellier,1,3,3,1.30758,1.9999,,,,,,,,Montpellier,Reims,0,3,3,1.9999,1.30758,,,,,,,
20210815_Clermont Foot_Troyes,2021-08-15 13:00:00,FRA-Ligue 1,2122,Clermont Foot,Troyes,1,2,0,1.44309,0.696005,,,,,,,,Troyes,Clermont Foot,0,0,2,0.696005,1.44309,,,,,,,
20210815_Newcastle United_West Ham,2021-08-15 13:00:00,ENG-Premier League,2122,Newcastle United,West Ham,1,2,4,1.67926,3.00939,,,,,,,,West Ham,Newcastle United,0,4,2,3.00939,1.67926,,,,,,,
20210815_Mainz 05_RasenBallsport Leipzig,2021-08-15 13:30:00,GER-Bundesliga,2122,Mainz 05,RasenBallsport Leipzig,1,1,0,1.27109,0.841814,,,,,,,,RasenBallsport Leipzig,Mainz 05,0,0,1,0.841814,1.27109,,,,,,,
20210815_Lens_Saint-Etienne,2021-08-15 15:00:00,FRA-Ligue 1,2122,Lens,Saint-Etienne,1,2,2,1.1447,0.85171,,,,,,,,Saint-Etienne,Lens,0,2,2,0.85171,1.1447,,,,,,,
20210815_FC Cologne_Hertha Berlin,2021-08-15 15:30:00,GER-Bundesliga,2122,FC Cologne,Hertha Berlin,1,3,1,1.62567,2.1078,,,,,,,,Hertha Berlin,FC Cologne,0,1,3,2.1078,1.62567,,,,,,,
20210815_Celta Vigo_Atletico Madrid,2021-08-15 15:30:00,ESP-La Liga,2122,Celta Vigo,Atletico Madrid,1,1,2,1.59399,1.805,,,,,,,,Atletico Madrid,Celta Vigo,0,2,1,1.805,1.59399,,,,,,,
20210815_Tottenham_Manchester City,2021-08-15 15:30:00,ENG-Premier League,2122,Tottenham,Manchester City,1,1,0,1.06014,2.10585,,,,,,,,Manchester City,Tottenham,0,0,1,2.10585,1.06014,,,,,,,
20210815_Barcelona_Real Sociedad,2021-08-15 18:00:00,ESP-La Liga,2122,Barcelona,Real Sociedad,1,4,2,3.46484,0.902312,,,,,,,,Real Sociedad,Barcelona,0,2,4,0.902312,3.46484,,,,,,,
20210815_Marseille_Bordeaux,2021-08-15 18:45:00,FRA-Ligue 1,2122,Marseille,Bordeaux,1,2,2,1.05273,0.318288,,,,,,,,Bordeaux,Marseille,0,2,2,0.318288,1.05273,,,,,,,
20210815_Sevilla_Rayo Vallecano,2021-08-15 20:15:00,ESP-La Liga,2122,Sevilla,Rayo Vallecano,1,3,0,3.67402,0.484078,,,,,,,,Rayo Vallecano,Sevilla,0,0,3,0.484078,3.67402,,,,,,,
20210816_Villarreal_Granada,2021-08-16 18:00:00,ESP-La Liga,2122,Villarreal,Granada,1,0,0,1.21791,0.246735,,,,,,,,Granada,Villarreal,0,0,0,0.246735,1.21791,,,,,,,
20210816_Elche_Athletic Club,2021-08-16 20:00:00,ESP-La Liga,2122,Elche,Athletic Club,1,0,0,0.933565,0.634866,,,,,,,,Athletic Club,Elche,0,0,0,0.634866,0.933565,,,,,,,
20210820_RasenBallsport Leipzig_VfB Stuttgart,2021-08-20 18:30:00,GER-Bundesliga,2122,RasenBallsport Leipzig,VfB Stuttgart,1,4,0,2.86627,0.958579,,,,,,,,VfB Stuttgart,RasenBallsport Leipzig,0,0,4,0.958579,2.86627,,,,,,,
20210820_Real Betis_Cadiz,2021-08-20 19:00:00,ESP-La Liga,2122,Real Betis,Cadiz,1,1,1,1.82337,1.4533,,,,,,,,Cadiz,Real Betis,0,1,1,1.4533,1.82337,,,,,,,
20210820_Brest_Paris Saint Germain,2021-08-20 19:00:00,FRA-Ligue 1,2122,Brest,Paris Saint Germain,1,2,4,1.24868,1.51499,,,,,,,,Paris Saint Germain,Brest,0,4,2,1.51499,1.24868,,,,,,,
20210821_Liverpool_Burnley,2021-08-21 11:30:00,ENG-Premier League,2122,Liverpool,Burnley,1,2,0,2.63945,0.690464,,,,,,,,Burnley,Liverpool,0,0,2,0.690464,2.63945,,,,,,,
20210821_Eintracht Frankfurt_Augsburg,2021-08-21 13:30:00,GER-Bundesliga,2122,Eintracht Frankfurt,Augsburg,1,0,0,1.3297,0.16593,,,,,,,,Augsburg,Eintracht Frankfurt,0,0,0,0.16593,1.3297,,,,,,,
20210821_Freiburg_Borussia Dortmund,2021-08-21 13:30:00,GER-Bundesliga,2122,Freiburg,Borussia Dortmund,1,2,1,1.58418,1.49634,,,,,,,,Borussia Dortmund,Freiburg,0,1,2,1.49634,1.58418,,,,,,,
20210821_Bochum_Mainz 05,2021-08-21 13:30:00,GER-Bundesliga,2122,Bochum,Mainz 05,1,2,0,1.05301,0.817413,,,,,,,,Mainz 05,Bochum,0,0,2,0.817413,1.05301,,,,,,,
20210821_Greuther Fuerth_Arminia Bielefeld,2021-08-21 13:30:00,GER-Bundesliga,2122,Greuther Fuerth,Arminia Bielefeld,1,1,1,2.57735,0.763691,,,,,,,,Arminia Bielefeld,Greuther Fuerth,0,1,1,0.763691,2.57735,,,,,,,
20210821_Hertha Berlin_Wolfsburg,2021-08-21 13:30:00,GER-Bundesliga,2122,Hertha Berlin,Wolfsburg,1,1,2,1.17401,0.558009,,,,,,,,Wolfsburg,Hertha Berlin,0,2,1,0.558009,1.17401,,,,,,,
20210821_Leeds_Everton,2021-08-21 14:00:00,ENG-Premier League,2122,Leeds,Everton,1,2,2,0.966093,1.85713,,,,,,,,Everton,Leeds,0,2,2,1.85713,0.966093,,,,,,,
20210821_Crystal Palace_Brentford,2021-08-21 14:00:00,ENG-Premier League,2122,Crystal Palace,Brentford,1,0,0,0.606313,0.712439,,,,,,,,Brentford,Crystal Palace,0,0,0,0.712439,0.606313,,,,,,,
20210821_Manchester City_Norwich,2021-08-21 14:00:00,ENG-Premier League,2122,Manchester City,Norwich,1,5,0,2.43928,0.0250088,,,,,,,,Norwich,Manchester City,0,0,5,0.0250088,2.43928,,,,,,,
20210821_Aston Villa_Newcastle United,2021-08-21 14:00:00,ENG-Premier League,2122,Aston Villa,Newcastle United,1,2,0,1.18426,0.63163,,,,,,,,Newcastle United,Aston Villa,0,0,2,0.63163,1.18426,,,,,,,
