id_partido,fecha,liga,temporada,equipo_home,rival_home,es_local_home,goles_favor_home,goles_contra_home,xg_favor_home,xg_contra_home,xg_favor_roll_5_home,xg_contra_roll_5_home,xg_diff_roll_5_home,xg_favor_roll_10_home,xg_contra_roll_10_home,xg_diff_roll_10_home,conversion_ratio_10_home,equipo_away,rival_away,es_local_away,goles_favor_away,goles_contra_away,xg_favor_away,xg_contra_away,xg_favor_roll_5_away,xg_contra_roll_5_away,xg_diff_roll_5_away,xg_favor_roll_10_away,xg_contra_roll_10_away,xg_diff_roll_10_away,conversion_ratio_10_away,cuota_home,cuota_draw,cuota_away
20210918_Aston Villa_Everton,2021-09-18 16:30:00,ENG-Premier League,2122,Aston Villa,Everton,1,3,0,0.777716,0.755035,0.9815985,1.08416,-0.1025614999999999,0.9815985,1.08416,-0.1025614999999999,1.273429835544177,Everton,Aston Villa,0,0,3,0.755035,0.777716,1.899575,1.0172315,0.8823435,1.899575,1.0172315,0.8823435,1.316082128789165,2.789473684210526,3.3342105263157897,3.226842105263158
20210919_West Ham_Manchester United,2021-09-19 13:00:00,ENG-Premier League,2122,West Ham,Manchester United,1,1,2,1.6671,1.8954,1.86710175,1.16868375,0.698418,1.86710175,1.16868375,0.698418,1.33897183298683,Manchester United,West Ham,0,2,1,1.8954,1.6671,1.90538825,0.893415,1.01197325,1.90538825,0.893415,1.01197325,1.4432735122703837,3.0710526315789473,3.3394736842105264,3.0805263157894736
20210919_Tottenham_Chelsea,2021-09-19 15:30:00,ENG-Premier League,2122,Tottenham,Chelsea,1,0,3,0.70567,2.5869,0.9462569,1.776714,-0.8304571000000002,0.9462569,1.776714,-0.8304571000000002,0.7925945042131154,Chelsea,Tottenham,0,3,0,2.5869,0.70567,1.6558945,1.0524775,0.6034170000000001,1.6558945,1.0524775,0.6034170000000001,1.358780165674556,1.9742105263157894,3.488421052631579,5.1147368421052635
20210925_Chelsea_Manchester City,2021-09-25 11:30:00,ENG-Premier League,2122,Chelsea,Manchester City,1,0,1,0.194202,1.69244,1.8420956,0.983116,0.8589795999999998,1.8420956,0.983116,0.8589795999999998,1.302862562765404,Manchester City,Chelsea,0,1,0,1.69244,0.194202,2.59859,0.49859536,2.09999464,2.59859,0.49859536,2.09999464,0.8466123192867522,1.3473684210526315,5.2,12.465789473684211
20210925_Everton_Norwich,2021-09-25 14:00:00,ENG-Premier League,2122,Everton,Norwich,1,2,0,2.26681,0.800903,1.670667,0.9693284,0.7013385999999999,1.670667,0.9693284,0.7013385999999999,1.1971252234883152,Norwich,Everton,0,0,2,0.800903,2.26681,0.83182116,2.122058,-1.29023684,0.83182116,2.122058,-1.29023684,0.4808714390688521,2.9257894736842105,3.392631578947368,3.488421052631579
20210926_Arsenal_Tottenham,2021-09-26 15:30:00,ENG-Premier League,2122,Arsenal,Tottenham,1,3,1,1.44499,0.980166,1.1110368000000002,2.2710192,-1.1599824,1.1110368000000002,2.2710192,-1.1599824,0.3600234303248455,Tottenham,Arsenal,0,1,3,0.980166,1.44499,0.89813952,1.9387512,-1.04061168,0.89813952,1.9387512,-1.04061168,0.6680461671563743,1.54,4.433684210526316,8.544736842105262
20211002_Chelsea_Southampton,2021-10-02 14:00:00,ENG-Premier League,2122,Chelsea,Southampton,1,3,1,3.79243,1.52634,1.6435179999999998,1.2572638,0.3862541999999997,1.5674466666666664,1.1013366666666666,0.4661099999999998,1.2759591225229117,Southampton,Chelsea,0,1,3,1.52634,3.79243,1.2280572,1.26245,-0.0343928,1.1201478333333337,1.4501466666666667,-0.3299988333333332,0.5951586521858615,1.3473684210526315,5.2,12.465789473684211
20211003_West Ham_Brentford,2021-10-03 13:00:00,ENG-Premier League,2122,West Ham,Brentford,1,1,2,1.37258,1.30098,1.6231474,1.217515,0.4056324,1.8541878333333333,1.2944725,0.5597153333333331,1.1685249359176433,Brentford,West Ham,0,2,1,1.30098,1.37258,1.568667,0.9212398,0.6474272,1.6219191666666666,0.9383415,0.6835776666666666,0.8220705387901691,3.0710526315789473,3.3394736842105264,3.0805263157894736
20211003_Tottenham_Aston Villa,2021-10-03 13:00:00,ENG-Premier League,2122,Tottenham,Aston Villa,1,2,1,1.78187,1.07395,0.88214472,1.8065792,-0.9244344799999998,0.9118106,1.8564576666666663,-0.9446470666666666,0.731144656677866,Aston Villa,Tottenham,0,1,2,1.07395,1.78187,1.027884,1.133283,-0.105399,1.0461,1.1694625,-0.1233625,1.4338950484417543,1.9742105263157894,3.488421052631579,5.1147368421052635
20211003_Liverpool_Manchester City,2021-10-03 15:30:00,ENG-Premier League,2122,Liverpool,Manchester City,1,2,2,0.949368,1.04319,2.830192,1.1002728000000002,1.7299191999999997,2.6563733333333333,1.1391106666666666,1.5172626666666666,0.941132182014964,Manchester City,Liverpool,0,2,2,1.04319,0.949368,2.515908,0.32540776,2.19050024,2.447565,0.4478631333333334,1.9997018666666664,0.8171381099595517,1.6636842105263157,3.8426315789473686,7.0
