league,match_id,home_team,away_team,selection,p_model,odds,ev,kelly_stake_frac,won
E0,119,Arsenal,Tottenham,away,0.14506414106099616,8.03,0.164865052719799,0.005862910836408219,False
E0,118,Leeds,Aston Villa,away,0.5825591037609055,2.37,0.3806650759133461,0.05,True
E0,120,Man United,Everton,draw,0.2950787087789775,3.83,0.13015145462348388,0.011497478323629318,False
E0,120,Man United,Everton,away,0.2894260089459945,4.49,0.29952278016751555,0.021455786544950967,True
E0,125,Tottenham,Fulham,away,0.3185317120362694,3.33,0.06071060108077719,0.006514012991499687,True
E0,122,Man City,Leeds,home,0.8466343908986994,1.23,0.04136030080540021,0.04495684870152203,True
E0,121,Brentford,Burnley,away,0.16373017107686422,6.96,0.139561990694975,0.005854110347943578,False
E0,124,Everton,Newcastle,away,0.4707442433526109,2.55,0.20039782054915767,0.03232222912083189,True
E0,127,Aston Villa,Wolves,away,0.21562677686202897,6.57,0.4166679239835305,0.01870143285383889,False
E0,129,West Ham,Liverpool,away,0.6436598767626055,1.74,0.11996818556693367,0.04052979242126134,True
E0,130,Chelsea,Arsenal,away,0.47835206026471655,2.18,0.042807491377082174,0.009069383766330968,False
E0,128,Nott'm Forest,Brighton,home,0.38931148162588014,2.72,0.05892723002239397,0.008565004363720069,False
E0,133,Newcastle,Tottenham,away,0.24506409872243531,4.24,0.03907177858312583,0.003014797730179453,False
E0,135,Brighton,Aston Villa,away,0.3657462600314175,3.33,0.21793504590462032,0.023383588616375583,True
E0,136,Burnley,Crystal Palace,home,0.24037099543855966,4.57,0.09849544915421782,0.006897440416962023,False
E0,137,Wolves,Nott'm Forest,home,0.34731092128460367,3.28,0.13917982181349986,0.015260945374287278,False
E0,134,Arsenal,Brentford,away,0.15464230259498352,8.94,0.3825021851991526,0.012043519685111857,False
E0,138,Leeds,Chelsea,away,0.6211081800805611,1.78,0.10557256054339881,0.03383735914852526,False
E0,140,Man United,West Ham,draw,0.25022962680158756,4.81,0.2036045049156361,0.013359875650632291,True
E0,140,Man United,West Ham,away,0.28111333257048776,6.59,0.8525368616395144,0.03812776662072962,False
E0,142,Bournemouth,Chelsea,home,0.32331264798398696,3.14,0.01520171466971898,0.0017759012464625104,False
E0,145,Newcastle,Burnley,away,0.11145996961654396,10.39,0.15806908431589184,0.0042084420744380145,False
E0,146,Tottenham,Brentford,away,0.3491701457104772,3.03,0.05798554150274593,0.007141076539747037,False
E0,147,Leeds,Liverpool,away,0.763128841501935,1.84,0.40415706836356047,0.05,False
E0,143,Everton,Nott'm Forest,away,0.3466102818321838,3.52,0.22006819204928685,0.021832161909651485,False
E0,148,Brighton,West Ham,away,0.24906394937530887,5.63,0.40223003498298904,0.02171868439432985,False
E0,149,Fulham,Crystal Palace,home,0.40059174475844456,2.57,0.02952078402920244,0.004700761788089578,False
E0,150,Wolves,Man United,home,0.3495346270626549,4.22,0.4750361262044036,0.03688168681711208,False
E0,150,Wolves,Man United,draw,0.2608919440885244,3.9,0.01747858194524521,0.001506774305624587,False
E0,152,Liverpool,Brighton,home,0.6522203602320041,1.67,0.0892080015874468,0.033286567756510024,True
E0,151,Chelsea,Everton,draw,0.26333956321790447,3.9,0.02702429654982752,0.0023296807370540968,False
E0,151,Chelsea,Everton,away,0.21315466731661514,5.09,0.08495725664157106,0.005192986347284294,False
E0,154,Arsenal,Wolves,draw,0.16687345426183614,8.62,0.43844917573702746,0.014384815476936598,False
E0,154,Arsenal,Wolves,away,0.10003270138517628,22.31,1.2317295679032827,0.014450135709799188,False
E0,158,West Ham,Aston Villa,home,0.301915418473334,3.63,0.09595296905820239,0.009121004663327213,False
E0,155,Crystal Palace,Man City,away,0.5680874822049924,1.83,0.03960009243513607,0.011927738685281965,True
E0,156,Nott'm Forest,Tottenham,home,0.4023119560201995,2.55,0.025895487851508525,0.004176691588953006,True
E0,156,Nott'm Forest,Tottenham,away,0.36557678584163883,2.76,0.008991928922922998,0.001277262631097017,False
E0,159,Brentford,Leeds,home,0.6551034044576378,1.94,0.2709006046478173,0.05,False
E0,160,Man United,Bournemouth,draw,0.26374641442074725,3.98,0.049710729394573994,0.004170363204242794,True
E0,160,Man United,Bournemouth,away,0.33680987507979443,3.84,0.2933499203064105,0.025823056365000936,False
E0,162,Bournemouth,Burnley,away,0.18554078098428806,6.59,0.22271374668645816,0.009960364341970406,False
E0,161,Newcastle,Chelsea,home,0.4485643246100304,2.73,0.224580606185383,0.032453844824477295,False
E0,166,Tottenham,Liverpool,away,0.5738202060489404,2.02,0.15911681621885942,0.03899921966148518,True
